ts,state,center_offset,ndt_response_time(ms),instance,gnss_pose_x,gnss_pose_y,ndt_score,current_pose_x,current_pose_y
34914.712314608,None,-0.14066271716411502,43.55099868774414,487,315.405,265.46,0.4428480565547943,315.405,265.217
34915.045256528,None,-0.18843035848823703,53.4739990234375,490,315.37,266.552,0.441864937543869,315.37,266.303
34915.38964978,None,-0.24573359558675156,54.33100128173828,493,315.325,267.634,0.4366457164287567,315.318,267.376
34915.733831183,None,-0.30641475160312825,53.382999420166016,496,315.269,268.709,0.44654232263565063,315.268,268.46
34916.088577278,None,-0.30997419247413693,50.18299865722656,499,315.203,269.763,0.44565221667289734,315.202,269.519
34916.454845605,None,-0.28119210515232435,46.5260009765625,502,315.127,270.776,0.4490446150302887,315.127,270.547
34916.787852361,None,-0.2312055362659062,47.52199935913086,505,315.042,271.747,0.44173169136047363,315.041,271.538
34917.131588093,None,-0.17660407696313996,51.763999938964844,508,314.945,272.701,0.45070067048072815,314.944,272.492
34917.48532818,None,-0.1663850954863765,45.185001373291016,511,314.792,273.65,0.44841280579566956,314.814,273.446
34917.828618791,None,-0.2654806960966774,45.46200180053711,514,314.571,274.603,0.45007288455963135,314.597,274.407
34918.184466946,None,-0.4145841289774478,46.196998596191406,517,314.301,275.557,0.4451320171356201,314.337,275.357
34918.537381797,None,-0.5462471967891478,47.40299987792969,520,314.045,276.344,0.4430035650730133,314.031,276.317
34918.90012081,None,-0.7557942841805048,45.25899887084961,523,313.706,277.274,0.4487583637237549,313.689,277.245
34919.266096704,None,-0.9728771762149965,46.983001708984375,526,313.263,278.354,0.4413855969905853,313.322,278.174
34919.630359169,None,-1.157653661506749,46.21699905395508,529,312.839,279.292,0.4531104564666748,312.9,279.115
34919.98344978,None,-1.3787022883856914,56.24599838256836,532,312.372,280.244,0.44787102937698364,312.438,280.054
34920.337800397,None,-1.6455716332022607,52.150001525878906,535,311.872,281.198,0.45340266823768616,311.947,281.007
34920.701877133,None,-1.9384158480573577,52.20500183105469,538,311.348,282.143,0.4485882818698883,311.42,281.965
34921.055656913,None,-2.248093636839849,48.72100067138672,541,310.807,283.086,0.4558338522911072,310.885,282.903
34921.419265587,None,-2.5432848837674067,55.73400115966797,544,310.249,284.037,0.4548133313655853,310.329,283.851
34921.77229362,None,-2.794847044115274,62.512001037597656,547,309.681,284.995,0.4599030911922455,309.758,284.809
34922.125703706,None,-2.989959865951363,52.150001525878906,550,309.117,285.947,0.4654178321361542,309.189,285.774
34922.469203138,None,-3.1986204838961383,52.08100128173828,553,308.562,286.885,0.46068063378334045,308.64,286.713
34922.842650184,None,-3.322025887918368,52.26900100708008,556,308.016,287.814,0.4645065367221832,308.095,287.638
34923.194924892,None,-3.4745572379801493,51.944000244140625,559,307.472,288.743,0.4620358645915985,307.539,288.582
34923.56797419,None,-3.631225963775897,51.0369987487793,562,306.929,289.668,0.46735385060310364,307.006,289.486
34923.911979362,None,-3.7227745029748713,49.21200180053711,565,306.391,290.579,0.46824488043785095,306.465,290.396
34924.265385275,None,-3.8357931383222446,52.17399978637695,568,305.857,291.469,0.4617922008037567,305.941,291.286
34924.60933857,None,-3.93907298739184,50.64799880981445,571,305.322,292.341,0.46482887864112854,305.4,292.163
34924.964384911,None,-4.065949458613588,44.513999938964844,574,304.779,293.203,0.46407651901245117,304.86,293.038
34925.317943258,None,-4.147493701019931,46.77399826049805,577,304.316,293.914,0.46553370356559753,304.309,293.899
34925.681989767,None,-4.252468459612622,47.24300003051758,580,303.65,294.891,0.47436487674713135,303.754,294.727
34926.046562595,None,-4.3105575045462245,49.194000244140625,583,303.062,295.707,0.4802641272544861,303.164,295.543
34926.402030399,None,-4.3767331424248255,45.323001861572266,586,302.45,296.503,0.48696571588516235,302.563,296.351
34926.767734106,None,-4.398573064074311,44.93299865722656,589,301.807,297.289,0.48004671931266785,301.937,297.129
34927.120784075,None,-4.386288180227102,44.89500045776367,592,301.129,298.064,0.4876437783241272,301.259,297.914
34927.473657555,None,-4.463771163489469,43.76300048828125,595,300.418,298.823,0.49212321639060974,300.551,298.693
34927.827639682,None,-4.5474951346868115,38.49100112915039,598,299.678,299.555,0.48790621757507324,299.802,299.431
34928.200367671,None,-4.505709378111307,44.619998931884766,601,299.039,300.143,0.48544347286224365,299.03,300.142
34928.554414358,None,-4.417063843776771,43.86399841308594,604,298.099,300.937,0.48739558458328247,298.231,300.841
34928.916856162,None,-4.369784548464621,44.76300048828125,607,297.244,301.592,0.48748692870140076,297.399,301.479
34929.291468393,None,-4.357003098461126,45.755001068115234,610,296.354,302.214,0.4843166172504425,296.505,302.103
